sample-id	Plant	Wheat variety	Treatment	Block	Plot	Compartment	Plant height (cm)	Plant_biomass_(g)
T-macha-UnT-RS-4-14	Triticum_macha	Ancestral	UnTreated	4	14	Rhizosphere	72	0.59
T-monococcum-T-RS-1-10	Triticum_monococcum	Ancestral	Treated	1	10	Rhizosphere	83	1.11
T-monococcum-T-RS-2-37	Triticum_monococcum	Ancestral	Treated	2	37	Rhizosphere	35	0.3
T-monococcum-T-RS-3-13	Triticum_monococcum	Ancestral	Treated	3	13	Rhizosphere	89.5	1.09
T-monococcum-T-RS-4-7	Triticum_monococcum	Ancestral	Treated	4	7	Rhizosphere	70	0.47
T-monococcum-UnT-RS-1-23	Triticum_monococcum	Ancestral	UnTreated	1	23	Rhizosphere	24.5	0.54
T-monococcum-UnT-RS-2-25	Triticum_monococcum	Ancestral	UnTreated	2	25	Rhizosphere	48	0.33
T-monococcum-UnT-RS-3-23	Triticum_monococcum	Ancestral	UnTreated	3	23	Rhizosphere	75.5	0.52
T-monococcum-UnT-RS-4-28	Triticum_monococcum	Ancestral	UnTreated	4	28	Rhizosphere	73	0.3
T-polonicum-T-RS-1-11	Triticum_polonicum	Ancestral	Treated	1	11	Rhizosphere	90	2.37
T-polonicum-T-RS-2-26	Triticum_polonicum	Ancestral	Treated	2	26	Rhizosphere	96	3.8
